Polarity,Processed_Tweets
0,Awww thats a bummer  You shoulda got David Carr of Third Day to do it D
0,is upset that he cant update his Facebook by texting it and might cry as a result  School today also Blah
0,I dived many times for the ball Managed to save 50  The rest go out of bounds
0,my whole body feels itchy and like its on fire
0,no its not behaving at all im mad why am i here because I cant see you all over there
0,not the whole crew
0,Need a hug
0,hey  long time no see Yes Rains a bit only a bit  LOL  Im fine thanks  hows you
0,nope they didnt have it
0,que me muera
0,spring break in plain city its snowing
0,I just repierced my ears
0,I couldnt bear to watch it  And I thought the UA loss was embarrassing
0,It it counts idk why I did either you never talk to me anymore
0,i wouldve been the first but i didnt have a gun    not really though zac snyders just a doucheclown
0,I wish I got to watch it with you I miss you and   how was the premiere
0,Hollis death scene will hurt me severely to watch on film  wry is directors cut not out now
0,about to file taxes
0,ahh ive always wanted to see rent  love the soundtrack
0,Oh dear Were you drinking out of the forgotten table drinks
0,i was out most of the day so didnt get much done
0,one of my friend called me and asked to meet with her at Mid Valley todaybut ive no time sigh
0,I baked you a cake but I ated it
0,this week is not going as i had hoped
0,blagh class at 8 tomorrow
0,I hate when I have to call and wake people up
0,Just going to cry myself to sleep after watching Marley and Me
0,im sad now  MissLilly
0,ooooh LOL  that leslie and ok I wont do it again so leslie wont  get mad again
0,Meh Almost Lover is the exception this track gets me depressed every time
0,some1 hacked my account on aim  now i have to make a new one
0,I want to go to promote GEAR AND GROOVE but unfornately no ride there  I may b going to the one in Anaheim in May though
0,thought sleeping in was an option tomorrow but realizing that it now is not evaluations in the morning and work in the afternoon
0,awe i love you too 1 am here  i miss you
0,I cry my asian eyes to sleep at night
0,ok Im sick and spent an hour sitting in the shower cause I was too sick to stand and held back the puke like a champ BED now
0,ill tell ya the story later  not a good day and ill be workin for like three more hours
0,sorry bed time came here GMT1
0,I dont either Its depressing I dont think I even want to know about the kids in suitcases
0,Bed Class 812 Work 123 Gym 35 or 6 Then class 610 Another day thats gonna fly by I miss my girlfriend
0,really dont feel like getting up today but got to study to for tomorrows practical exam
0,Hes the reason for the teardrops on my guitar the only one who has enough of me to break my heart
0,Sad sad sad I dont know why but I hate this feeling  I wanna sleep and I still cant
0,Awww I soo wish I was there to see you finally comfortable Im sad that I missed it
0,Falling asleep Just heard about that Tracy girls body being found How sad  My heart breaks for that family
0,Yay Im happy for you with your job But that also means less time for me and you
0,Just checked my user timeline on my blackberry it looks like the twanking is still happening  Are ppl still having probs w BGs and UIDs
0,Oh manwas ironing s fave top to wear to a meeting Burnt it
0,is strangely sad about LiLo and SamRo breaking up
0,oh im so sorry  i didnt think about that before retweeting
0,Broadband plan a massive broken promise  via wwwdiigocomtautao Still waiting for broadband we are
0,Wow tons of replies from you may have to unfollow so I can see my friends tweets youre scrolling the feed a lot
0,our duck and chicken are taking wayyy too long to hatch
0,Put vacation photos online a few yrs ago PC crashed and now I forget the name of the site
0,I need a hug
0,Not sure what they are only that they are PoS As much as I want to I dont think can trade away company assets sorry andy
0,I hate when that happens
0,I have a sad feeling that Dallas is not going to show up  I gotta say though youd think more shows would use music from the game mmm
0,Ugh92 degrees tomorrow
0,Where did u move to  I thought u were already in sd  Hmmm Random u found me Glad to hear yer doing well
0,I miss my ps3 its out of commission  Wutcha playing Have you copped Blood On The Sand
0,just leaving the parking lot of work
0,The Life is cool But not for Me
0,Sadly though Ive never gotten to experience the post coitus cigarette before and now I never will
0,I had such a nice day Too bad the rain comes in tomorrow at 5am
0,too bad I wont be around I lost my job and cant even pay my phone bill lmao aw shucks
0,Damm back to school tomorrow
0,Mo jobs no money  how in the hell is min wage here 4 fn clams an hour
0,Not forever See you soon
0,agreed I saw the failwhale allllll day today
0,Oh Haha dude I dont really look at em unless someone says HEY I ADDED YOU Sorry  Im so terrible at that I need a pop up
0,Im sure youre right    I need to start working out with you and the Nikster Or Jared at least
0,i really hate how people diss my bands  Trace is clearly NOT ugly
0,Gym attire today was Puma singlet Adidas shortsand black business socks and leather shoes  Lucky did not run into any cute girls
0,Why wont you show my location
0,No picnic  my phone smells like citrus
0,My donkey is sensitive about such comments Nevertheless hed and med be glad to see your mug asap Charger is still awol
0,No new csi tonight  FML
0,i think my arms are sore from tennis
0,wonders why someone that u like so much can make you so unhappy in a split seccond  depressed
0,sleep soon i just hate saying bye and see you tomorrow for the night
0,just got ur newsletter those fares really are unbelievable shame I already booked and paid for mine
0,missin the boo
0,Me too  itm
0,Damn I dont have any chalk MY CHALKBOARD IS USELESS
0,had a blast at the Getty Villa but hates that shes had a sore throat all day Its just getting worse too
0,hey missed ya at the meeting  sup mama
0,My tummy hurts  I wonder if the hypnosis has anything to do with it If so its working I get it STOP SMOKING
0,why is it always the fat ones
0,Sorry babe  My fam annoys me too Thankfully theyre asleep right now Muahaha evil laugh
0,I should have paid more attention when we covered photoshop in my webpage design class in undergrad
0,wednesday my bday dont know what 2 do
0,Poor cameron the hills
0,pray for me please the ex is threatening to start sh at myour babies 1st Birthday party what a jerk and I still have a headache
0,hmm   do u really enjoy being with him  if the problems are too constants u should think things more  find someone ulike
0,Strider is a sick little puppy
0,so ryleegracewana go steves party or not SADLY SINCE ITS EASTER I WNT B ABLE 2 DO MUCH  BUT OHH WELL
0,hey I actually won one of my bracket pools Too bad it wasnt the one for money
0,YOU dont follow me either  and i work for you
0,A bad nite for the favorite teams Astros and Spartans lose  The nite out with TW was good
0,Body Of Missing Northern Calif Girl Found Police have found the remains of a missing Northern California girl
0,I hope they will increase the capacity fast yesterday was such a pain Got the fail whale 15 times in 2 hours
0,Behind on my classes for work
0,watching quotHousequot
0,Remember my bum leg Strikes back this time its serious
0,cool i will their are all kinds of complaints about this laptop online about overheating but no recalls
0,Emily will be glad when Mommy is done training at her new job She misses her
0,would rather the first party send bad messages than the 3rd party send mixed ones  Sophmore year all over again
0,its overrated
0,i know I heard it this afternoon and wondered the same thing Moscow is so behind the times
0,laying in bed with no voice
0,Im sooo sad they killed off Kutner on House  whyyyyyyyy
0,Sorry  tell them mea culpa from me and that I really am sorry
0,it didnt make any sense to me the suicide thing I refuse to believe that that is actually what happened
0,hope your ok
0,Damn The grind is inspirational and saddening at the same time  Dont want you to stop cuz I like what u do Much love
0,yeah aw but i know i wudnt stand a chance
0,ugh cant sleep its 130am
0,Hanging in Crooners Wanna sing Cant Sucks
0,aaw i miss ya all too im leaving to BH tomorrow quotmorningquot i think aww i wanna go to the beach w u girls
0,Is pissed off that theres no ASBAs for a radio station
0,wednesday my bday n dont know what 2 do
0,I know my life has been flipped upside down when I just thought in my head that some Ramen sounds good
0,I am in pain My back and sides hurt Not to mention crying is made of fail
0,Late night snack glass of OJ bc Im quotdown with the sicknessquot then back to sleepugh I hate getting sick
0,but but but Im not a big fan on camilla belle
0,WAH I cant see clip must be elstupido work filters Cant wait till I get a puter Something else 2 blame ex 4 He broke mine
0,This week just seems to get longer and longer in terms of how much I need to do and how much Im actually going to get done
0,Im so cold
0,Ehhh dont Weathers gonna take a turn for the ugly tomorrow
0,haha its so cooooold in the d and no  but you should still go to the show they do some incredible stuff
0,Hoping the tummy rumbles go away soon
0,No no notice They told me Id be working tomorrow and then I called the agency to follow up and they said it was over
0,almost bedtime
0,Im missing you babe  but as long as your alive Im happy Yawwwnn Im tired my love imma try to sleep hopefully you had a headstart
0,Aghsnow
0,i miss kenny powers
0,Thank you for letting people know but now Im sad that the direct message I got wasnt actually from Bridget
0,and India missed out its 100th Test victory n 10th consecutive win without a loss
0,I guess thats a no then
0,sadly is going to bed
0,Shame to hear this Stephan
0,hey im leavin in the morning
0,Was intending to finish editing my 536page novel manuscript tonight but that will probably not happen And only 12 pages are left
